Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Rafael Sanzo,M,SBD,Raw,49.5,45-49,50-59,Masters 2,143.5,120+,195,205,210,,210,147.5,152.5,-155,,152.5,225,242.5,252.5,,252.5,615,1,334.73,342.42,324.85,66.39,Yes,Uruguay,,FESUPO,IPF,2024-09-17,Argentina,,Buenos Aires,South American Classic Powerlifting Championships,Yes
Antonio Lamana,M,SBD,Raw,61.5,60-64,60-69,Masters 3,108.05,120,110,120,130,,130,70,75,82.5,,82.5,140,150,160,,160,372.5,2,222.13,220.45,210.60,45.39,Yes,Uruguay,,FESUPO,IPF,2024-09-17,Argentina,,Buenos Aires,South American Classic Powerlifting Championships,Yes
Felipe Ariel Jesus Vazquez,M,SBD,Raw,16.5,16-17,14-18,Sub-Juniors,110.25,120,160,177.5,,,177.5,110,120,-130,,120,180,200,-210,,200,497.5,2,294.40,292.57,279.64,60.06,Yes,Ecuador,,FESUPO,IPF,2024-09-17,Argentina,,Buenos Aires,South American Classic Powerlifting Championships,Yes
Urias Felipe Valenzuela Paternina,M,SBD,Raw,21.5,20-23,19-23,Juniors,104.9,105,265,272.5,285,,285,150,157.5,162.5,,162.5,260,-270,270,,270,717.5,3,432.89,428.89,409.54,88.62,Yes,Colombia,,FESUPO,IPF,2024-09-17,Argentina,,Buenos Aires,South American Classic Powerlifting Championships,Yes
Bastian Arevalo,M,SBD,Raw,21.5,20-23,19-23,Juniors,104.75,105,267.5,280,292.5,,292.5,165,172.5,177.5,,177.5,-300,300,-321,,300,770,2,464.83,460.50,439.73,95.17,Yes,Chile,,FESUPO,IPF,2024-09-17,Argentina,,Buenos Aires,South American Classic Powerlifting Championships,Yes
Reucher Correa,M,SBD,Raw,21.5,20-23,19-23,Juniors,103.7,105,-280,-280,-280,,,-165,-165,-165,,,230,,,,230,,DQ,,,,,Yes,Peru,,FESUPO,IPF,2024-09-17,Argentina,,Buenos Aires,South American Classic Powerlifting Championships,Yes
Jean Paul Caicedo Martinez,M,SBD,Raw,17.5,18-19,14-18,Sub-Juniors,105,105,210,222.5,-227.5,,222.5,105,110,-115,,110,250.5,260,265.5,,265.5,598,3,360.65,357.34,341.22,73.83,Yes,Colombia,,FESUPO,IPF,2024-09-17,Argentina,,Buenos Aires,South American Classic Powerlifting Championships,Yes
Santiago Arias,M,SBD,Raw,16.5,16-17,14-18,Sub-Juniors,103.95,105,215,225,230,,230,132.5,140.5,147.5,,147.5,230,245,-260,,245,622.5,2,376.96,373.31,356.46,77.22,Yes,Uruguay,,FESUPO,IPF,2024-09-17,Argentina,,Buenos Aires,South American Classic Powerlifting Championships,Yes
Sebastian Flores,M,SBD,Raw,24.5,24-34,24-39,Open,105,105,265,-280,280,,280,157.5,165,170,,170,280,-300,-310,,280,730,5,440.26,436.21,416.54,90.13,Yes,Chile,,FESUPO,IPF,2024-09-17,Argentina,,Buenos Aires,South American Classic Powerlifting Championships,Yes
Jose Taboada Flores,M,SBD,Raw,50.5,50-54,50-59,Masters 2,91.35,93,185,202.5,-210,,202.5,120,125,127.5,,127.5,185,190,200,,200,530,1,340.17,335.84,321.66,69.95,Yes,Ecuador,,FESUPO,IPF,2024-09-17,Argentina,,Buenos Aires,South American Classic Powerlifting Championships,Yes
