Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Gvidas Plečkauskas,M,SBD,Raw,30.5,24-34,24-39,Open,118.65,120,260,270,-280,,270,170,-180,180,,180,280,300,-315,,300,750,20,432.37,432.35,414.24,87.62,Yes,Lithuania,,IPF,IPF,2024-06-15,Lithuania,,Druskininkai,World Classic Powerlifting Championships,Yes
Bobb Matthews,M,SBD,Raw,26.5,24-34,24-39,Open,105.9,120,327.5,347.5,352.5,,352.5,227.5,235,237.5,,237.5,345,367.5,380,,380,970,1,583.01,577.91,551.90,119.29,Yes,USA,,IPF,IPF,2024-06-15,Lithuania,,Druskininkai,World Classic Powerlifting Championships,Yes
Danail Chaushev,M,SBD,Raw,22.5,20-23,19-23,Open,104,105,190,200,205,,205,127.5,135,-140,,135,225,235,240,,240,580,29,351.16,347.76,332.06,71.93,Yes,Bulgaria,,IPF,IPF,2024-06-15,Lithuania,,Druskininkai,World Classic Powerlifting Championships,Yes
Benjamin Sacco,M,SBD,Raw,29.5,24-34,24-39,Open,104.1,105,252.5,267.5,-277.5,,267.5,162.5,172.5,175,,175,272.5,290,302.5,,302.5,745,24,450.88,446.54,426.38,92.35,Yes,Malta,,IPF,IPF,2024-06-15,Lithuania,,Druskininkai,World Classic Powerlifting Championships,Yes
Nikola Vuksanovic,M,SBD,Raw,30.5,24-34,24-39,Open,104.4,105,245,260,270,,270,170,177.5,182.5,,182.5,260,280,295,,295,747.5,23,451.86,447.58,427.38,92.54,Yes,Malta,,IPF,IPF,2024-06-15,Lithuania,,Druskininkai,World Classic Powerlifting Championships,Yes
Winston Ang,M,SBD,Raw,25,24-34,24-39,Open,104.4,105,275,290,-297.5,,290,132.5,137.5,140,,140,300,315,320,,320,750,22,453.37,449.07,428.81,92.85,Yes,Singapore,,IPF,IPF,2024-06-15,Lithuania,,Druskininkai,World Classic Powerlifting Championships,Yes
Hicor Zakaria,M,SBD,Raw,30.5,24-34,24-39,Open,99.65,105,265,-275,-275,,265,175,182.5,-187.5,,182.5,300,317.5,-325,,317.5,765,21,471.59,466.23,445.32,96.80,Yes,Belgium,,IPF,IPF,2024-06-15,Lithuania,,Druskininkai,World Classic Powerlifting Championships,Yes
Ayuto Nakamura,M,SBD,Raw,26.5,24-34,24-39,Open,104.6,105,287.5,307.5,322.5,,322.5,185,192.5,202.5,,202.5,250,270,285,,285,810,15,489.26,484.67,462.80,100.18,Yes,Japan,,IPF,IPF,2024-06-15,Lithuania,,Druskininkai,World Classic Powerlifting Championships,Yes
Emoi Petersen,M,SBD,Raw,31.5,24-34,24-39,Open,91.9,93,165,182.5,190,,190,102.5,112.5,117.5,,117.5,187.5,200,215,,215,522.5,33,334.36,330.11,316.10,68.75,Yes,US Virgin Islands,,IPF,IPF,2024-06-15,Lithuania,,Druskininkai,World Classic Powerlifting Championships,Yes
Abdalla Elkarneeb,M,SBD,Raw,33.5,24-34,24-39,Open,91.2,93,247.5,-255,-255,,247.5,150,-160,-162.5,,150,250,262.5,-272.5,,262.5,660,32,423.95,418.55,400.91,87.17,Yes,Qatar,,IPF,IPF,2024-06-15,Lithuania,,Druskininkai,World Classic Powerlifting Championships,Yes
Hud Syafiq Bin Herman,M,SBD,Raw,27.5,24-34,24-39,Open,91.1,93,227.5,-237.5,237.5,,237.5,170,177.5,182.5,,182.5,255,270,280,,280,700,26,449.88,444.16,425.46,92.50,Yes,Singapore,,IPF,IPF,2024-06-15,Lithuania,,Druskininkai,World Classic Powerlifting Championships,Yes
Giannis Kouvaros,M,SBD,Raw,25.5,24-34,24-39,Open,80.9,83,200,215,217.5,,217.5,110,-122.5,-122.5,,110,240,260,272.5,,272.5,600,24,411.03,406.77,391.74,84.14,Yes,Cyprus,,IPF,IPF,2024-06-15,Lithuania,,Druskininkai,World Classic Powerlifting Championships,Yes
