Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Beau Perrilloux,M,SBD,Single-ply,17.5,18-19,14-18,Sub-Juniors,71.6,74,-215,215,-232.5,,215,112.5,-122.5,-122.5,,112.5,192.5,205,-215,,205,532.5,1,393.85,392.31,379.82,67.44,Yes,USA,,NAPF,IPF,2023-08-08,Cayman Islands,,,North American Regional Powerlifting Championships,Yes
Eddie Mends,M,SBD,Single-ply,29.5,24-34,24-39,Open,106,120,180,195,205,,205,172.5,182.5,187.5,,187.5,230,240,250,,250,642.5,2,386.02,382.67,365.45,65.39,Yes,USA,,NAPF,IPF,2023-08-08,Cayman Islands,,,North American Regional Powerlifting Championships,Yes
Noel Alexander Rodríguez Flores,M,SBD,Single-ply,38.5,35-39,24-39,Open,80.4,83,200,230,252.5,,252.5,105,122.5,135,,135,200,225,-230,,225,612.5,2,421.11,416.85,401.55,72.08,Yes,Nicaragua,,NAPF,IPF,2023-08-08,Cayman Islands,,,North American Regional Powerlifting Championships,Yes
Kiel Oalmann,M,SBD,Single-ply,18.5,18-19,19-23,Juniors,104,105,200,-217.5,217.5,,217.5,117.5,-130,-130,,117.5,165,182.5,-207.5,,182.5,517.5,1,313.32,310.29,296.28,53.13,Yes,USA,,NAPF,IPF,2023-08-08,Cayman Islands,,,North American Regional Powerlifting Championships,Yes
Brendan Foley,M,SBD,Raw,15,13-15,14-18,Sub-Juniors,79.1,83,125,142.5,-162.5,,142.5,-95,97.5,107.5,,107.5,165,172.5,-182.5,,172.5,422.5,4,293.30,290.52,280.07,59.93,Yes,Cayman Islands,,NAPF,IPF,2023-08-08,Cayman Islands,,,North American Regional Powerlifting Championships,Yes
Rafael Camero,M,SBD,Raw,18,18-19,14-18,Sub-Juniors,82.1,83,202.5,207.5,210,,210,115,120,,,120,245,257.5,-275,,257.5,587.5,3,399.07,394.72,379.88,81.78,Yes,Panama,,NAPF,IPF,2023-08-08,Cayman Islands,,,North American Regional Powerlifting Championships,Yes
Keegan Bucci,M,SBD,Raw,17.5,18-19,14-18,Sub-Juniors,78.2,83,205,220,-225,,220,127.5,132.5,138,,138,255.5,273,-290.5,,273,631,1,441.07,437.12,421.61,90.04,Yes,USA,,NAPF,IPF,2023-08-08,Cayman Islands,,,North American Regional Powerlifting Championships,Yes
Makesi Leach,M,SBD,Raw,29.5,24-34,24-39,Open,82.9,83,210,220,-225,,220,140,142.5,-145,,142.5,280,-290,-290,,280,642.5,3,434.04,429.18,412.86,88.99,Yes,Trinidad and Tobago,,NAPF,IPF,2023-08-08,Cayman Islands,,,North American Regional Powerlifting Championships,Yes
Evan Gonsorcik,M,SBD,Raw,20,20-23,19-23,Juniors,79.3,83,190,197.5,-205,,197.5,127.5,132.5,135,,135,247.5,265,275,,275,607.5,6,421.09,417.06,402.01,86.07,Yes,USA,,NAPF,IPF,2023-08-08,Cayman Islands,,,North American Regional Powerlifting Championships,Yes
Dafydd Herico,M,SBD,Raw,23,20-23,19-23,Juniors,82.25,83,217.5,232.5,240,,240,145,152.5,-160,,152.5,255,270,280,,280,672.5,4,456.33,451.33,434.33,93.52,Yes,USA,,NAPF,IPF,2023-08-08,Cayman Islands,,,North American Regional Powerlifting Championships,Yes
Ava Lacasse,F,SBD,Raw,14.5,13-15,14-18,Sub-Juniors,63.6,69,107.5,110,115,,115,50,55,60,,60,117.5,-125,125,,125,300,1,320.80,319.89,282.44,65.24,Yes,USA,,NAPF,IPF,2023-08-08,Cayman Islands,,,North American Regional Powerlifting Championships,Yes
Amorette Banman,F,SBD,Raw,15,13-15,14-18,Sub-Juniors,61.7,63,-90,90,100,,100,-52.5,-55,-55,,,100,105,107.5,,107.5,,DQ,,,,,Yes,Belize,,NAPF,IPF,2023-08-08,Cayman Islands,,,North American Regional Powerlifting Championships,Yes
Aurayanna Matura-Shepherd,F,SBD,Raw,14.5,13-15,14-18,Sub-Juniors,61.8,63,80,87.5,92.5,,92.5,42.5,47.5,-50,,47.5,100,112.5,117.5,,117.5,257.5,3,280.23,280.62,247.85,57.05,Yes,Belize,,NAPF,IPF,2023-08-08,Cayman Islands,,,North American Regional Powerlifting Championships,Yes
Kenedee Rowen,F,SBD,Raw,17.5,18-19,14-18,Sub-Juniors,61.6,63,127.5,132.5,137.5,,137.5,67.5,-70,-70,,67.5,130,135,-150,,135,340,2,370.76,371.45,328.09,75.49,Yes,USA,,NAPF,IPF,2023-08-08,Cayman Islands,,,North American Regional Powerlifting Championships,Yes
Joylynne Smith,F,SBD,Raw,34,24-34,24-39,Open,68.15,69,125,132.5,137.5,,137.5,60,62.5,67.5,,67.5,150,157.5,167.5,,167.5,372.5,3,382.45,377.59,333.03,77.71,Yes,Belize,,NAPF,IPF,2023-08-08,Cayman Islands,,,North American Regional Powerlifting Championships,Yes
Charissa Grant,F,SBD,Raw,27,24-34,24-39,Open,60.9,63,150,-160,-160,,150,65,70,-72.5,,70,170,175,185,,185,405,3,444.78,446.37,394.31,90.62,Yes,Trinidad and Tobago,,NAPF,IPF,2023-08-08,Cayman Islands,,,North American Regional Powerlifting Championships,Yes
Julia Williams #1,F,SBD,Raw,33,24-34,24-39,Open,62.2,63,150,155,160,,160,87.5,92.5,95,,95,170,180,-185,,180,435,1,471.52,471.73,416.61,95.96,Yes,USA,,NAPF,IPF,2023-08-08,Cayman Islands,,,North American Regional Powerlifting Championships,Yes
Claire Rafferty,F,SBD,Raw,43.5,40-44,40-49,Masters 1,66.2,69,-80,80,90,,90,35,37.5,42.5,,42.5,90,100,110,,110,242.5,5,253.20,251.01,221.49,51.45,Yes,Cayman Islands,,NAPF,IPF,2023-08-08,Cayman Islands,,,North American Regional Powerlifting Championships,Yes
Dana Manning,F,SBD,Raw,45,45-49,40-49,Masters 1,67.6,69,100,107.5,112.5,,112.5,45,50,-57.5,,50,125,135,-142.5,,135,297.5,4,306.87,303.31,267.56,62.35,Yes,USA,,NAPF,IPF,2023-08-08,Cayman Islands,,,North American Regional Powerlifting Championships,Yes
