Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Ashton Rouska,M,SBD,Raw,29,24-34,24-39,Open,109.05,120,362.5,388,393,,393,187.5,195,200,,200,342.5,-362.5,-367.5,,342.5,935.5,5,555.89,552.02,527.47,113.50,Yes,USA,,IPF,IPF,2026-06-13,Lithuania,,Druskininkai,World Classic Powerlifting Championships,Yes
Ashton Rouska,M,SBD,Raw,29,24-34,24-39,MR-O,111.64,120,360,386.5,400.5,,400.5,190,197.5,202.5,,202.5,340,372.5,380,,380,983,1,579.00,575.93,550.70,118.00,Yes,USA,TX,AMP,IPF,2026-03-05,USA,NV,Lake Tahoe,Open Nationals,Yes
Ashton Rouska,M,SBD,Raw,28,24-34,24-39,MR-O,104.8,105,330,370,381,,381,187.5,190,192.5,,192.5,332.5,370.5,379.5,,379.5,953,4,575.19,569.85,544.14,117.77,Yes,USA,TX,AMP,IPF,2025-11-22,USA,TX,Austin,SBD Austin,Yes
Ashton Rouska,M,SBD,Raw,27.5,24-34,24-39,Open,104.56,,335,371,375,,375,175,180,,,180,340,-367.5,-375,,340,895,12,540.69,535.60,511.44,110.72,Yes,USA,,IPF,IPF,2025-01-26,UK,,Sheffield,Sheffield Powerlifting Championships,Yes
Ashton Rouska,M,SBD,Raw,27,24-34,24-39,Open,102.9,105,325,355,365.5,,365.5,200,210,-215,,210,332.5,360,365,,365,940.5,1,571.92,566.11,540.55,117.22,Yes,USA,,IPF,IPF,2024-06-15,Lithuania,,Druskininkai,World Classic Powerlifting Championships,Yes
Ashton Rouska,M,SBD,Raw,27,24-34,24-39,MR-O,102.6,105,325,363,,,363,200,205,210,,210,325,368,-375.5,,368,941,1,572.92,567.03,541.43,117.44,Yes,USA,TX,AMP,IPF,2024-03-14,USA,NV,Reno,Classic Raw Open Nationals,Yes
Ashton Rouska,M,SBD,Raw,26,24-34,24-39,MR-O,103.2,105,325,345,,,345,190,200,,,200,325,362.5,,,362.5,907.5,1,551.19,545.66,521.02,112.95,Yes,USA,TX,AMP,IPF,2023-11-11,USA,TX,Spring,Texas Fall Championship,Yes
Ashton Rouska,M,SBD,Raw,26,24-34,24-39,MR-O,105.81,110,335,371,380.5,,380.5,205,215,-220,,215,325,372.5,-388.5,,372.5,968,1,582.00,576.89,550.92,119.09,Yes,USA,TX,USAPL,,2023-09-14,USA,TN,Memphis,Raw Nationals,Yes
Ashton Rouska,M,SBD,Raw,25.5,24-34,24-39,MR-O,104.85,,325,357.5,370.5,,370.5,200,210,215,,215,345,-375,375,,375,960.5,2,579.61,574.24,548.34,118.67,Yes,USA,TX,USAPL,,2023-03-04,USA,OH,,Arnold Pro Series Finals,Yes
Ashton Rouska,M,SBD,Raw,25,24-34,24-39,MR-O,102.95,110,327.5,362.5,,,362.5,195,205,-207.5,,205,332.5,367.5,-387.5,,367.5,935,2,568.46,562.70,537.30,116.51,Yes,USA,TX,USAPL,,2022-12-10,USA,VA,,Virginia Pro,Yes
Ashton Rouska,M,SBD,Raw,25,24-34,24-39,MR-O,103.74,110,320,345,360,,360,190,200,205,,205,332.5,370,382.5,,382.5,947.5,1,574.25,568.63,542.95,117.64,Yes,USA,TX,USAPL,,2022-08-28,South Korea,,,Korea Summer Classic,Yes
Ashton Rouska,M,SBD,Raw,25,24-34,24-39,MR-O,101.36,110,325,-355,355,,355,197.5,202.5,205,,205,327.5,360,365,,365,925,1,566.06,559.97,534.74,116.11,Yes,USA,TX,USAPL,,2022-06-08,USA,NV,Las Vegas,Mega Nationals,Yes
Ashton Rouska,M,SBD,Raw,25,24-34,24-39,MR-O,103.79,,325,355,370,,370,195,205,-210,,205,335,380,,,380,955,1,578.68,573.03,547.16,118.55,Yes,USA,TX,USAPL,,2022-03-05,USA,OH,Columbus,Arnold A7 Grand Prix,Yes
Ashton Rouska,M,SBD,Raw,24,24-34,24-39,MR-O,103.3,,325,355,367.5,,367.5,195,207.5,210,,210,347.5,377.5,-400.5,,377.5,955,1,579.80,574.02,548.10,118.81,Yes,USA,TX,USAPL,,2021-12-04,USA,VA,,Virginia Pro,Yes
Ashton Rouska,M,SBD,Raw,24,24-34,24-39,MR-O,101.4,105,325,345,,,345,192.5,202.5,,,202.5,335,365,,,365,912.5,1,558.32,552.32,527.43,114.52,Yes,USA,TX,USAPL,IPF,2021-10-02,USA,VA,,Virginia Pro Qualifier,Yes
Ashton Rouska,M,SBD,Raw,24,24-34,24-39,MR-O,100.42,105,325,355,365.5,,365.5,192.5,205,-207.5,,205,335,372.5,-380,,372.5,943,1,579.38,572.94,547.19,118.89,Yes,USA,TX,USAPL,IPF,2021-06-14,USA,FL,Daytona Beach,Raw Nationals,Yes
