Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Austin Perkins #1,M,SBD,Raw,26.5,24-34,24-39,Open,73.3,74,325,340,-345,,340,197.5,207.5,,,207.5,332.5,344,,,344,891.5,1,649.15,645.64,624.45,131.53,Yes,USA,,IPF,IPF,2026-06-13,Lithuania,,Druskininkai,World Classic Powerlifting Championships,Yes
Austin Perkins #1,M,SBD,Raw,26,24-34,24-39,Open,73.38,,305,325,341,,341,197.5,207.5,-216,,207.5,325,-343,343,,343,891.5,1,648.69,645.13,623.93,131.45,Yes,USA,,IPF,IPF,2026-01-31,UK,,Sheffield,Sheffield Powerlifting Championships,Yes
Austin Perkins #1,M,SBD,Raw,26,24-34,24-39,MR-O,73.6,,290,305,320,,320,192.5,203,208,,208,295,315,330,,330,858,1,623.09,619.56,599.12,126.32,Yes,USA,,AMP,IPF,2025-10-11,USA,TX,Houston,Avancus Houston Primetime,Yes
Austin Perkins #1,M,SBD,Raw,25.5,24-34,24-39,Open,73.81,74,302.5,317.5,-323.5,,317.5,192.5,200,-205,,200,325,-335,,,325,842.5,1,610.70,607.13,587.03,123.85,Yes,USA,,IPF,IPF,2025-06-08,Germany,,Chemnitz,World Classic Powerlifting Championships,Yes
Austin Perkins #1,M,SBD,Raw,25,24-34,24-39,Open,73.9,,300,315,323,,323,190,200,-205,,200,305,320,-332.5,,320,843,5,610.57,606.96,586.84,123.85,Yes,USA,,IPF,IPF,2025-01-26,UK,,Sheffield,Sheffield Powerlifting Championships,Yes
Austin Perkins #1,M,SBD,Raw,24.5,24-34,24-39,Open,72.75,74,290,305.5,311,,311,187.5,195,200,,200,300,317.5,325,,325,836,1,611.77,608.75,588.96,123.82,Yes,USA,,IPF,IPF,2024-06-15,Lithuania,,Druskininkai,World Classic Powerlifting Championships,Yes
Austin Perkins #1,M,B,Raw,24.5,24-34,24-39,Open,73.35,74,,,,,,190,-202.5,-202.5,,190,,,,,,190,5,138.29,137.53,133.02,101.80,Yes,USA,,IPF,IPF,2024-05-22,USA,TX,Austin,World Bench Press Championships,Yes
Austin Perkins #1,M,SBD,Raw,24,24-34,24-39,MR-O,73.25,74,292.5,308,318,,318,185,195,,,195,307.5,326,,,326,839,1,611.20,607.91,587.98,123.83,Yes,USA,TX,AMP,IPF,2024-03-14,USA,NV,Reno,Classic Raw Open Nationals,Yes
Austin Perkins #1,M,B,Raw,24,24-34,24-39,MR-O,73.7,74,,,,,,185,195,200,,200,,,,,,200,1,145.11,144.28,139.51,106.89,Yes,USA,TX,AMP,IPF,2024-01-27,USA,TX,Austin,Bench Press Nationals,Yes
Austin Perkins #1,M,SBD,Raw,24,24-34,24-39,MR-O,75,83,25,,,,25,25,,,,25,75,,,,75,125,3,89.68,89.07,86.06,18.22,Yes,USA,TX,AMP,IPF,2023-12-10,USA,TX,San Antonio,CRCL Classic,Yes
Austin Perkins #1,M,SBD,Raw,23.5,24-34,24-39,MR-O,74.24,75,287.5,303.5,313.5,,313.5,185,195,200,,200,302.5,327.5,337.5,,337.5,851,1,614.54,610.73,590.37,124.73,Yes,USA,MS,USAPL,,2023-09-14,USA,TN,Memphis,Raw Nationals,Yes
Austin Perkins #1,M,SBD,Raw,23.5,24-34,24-39,MR-O,73.9,75,280,295,305,,305,175,185,195,,195,285,305,325,,325,825,1,597.54,594.00,574.31,121.20,Yes,USA,MS,USAPL,,2023-05-20,USA,TX,,P3 Grand Prix,Yes
Austin Perkins #1,M,SBD,Raw,23,20-23,19-23,MR-Jr,72.95,75,275,287.5,-300,,287.5,182.5,-187.5,187.5,,187.5,280,300,-325,,300,775,1,566.10,563.21,544.84,114.63,Yes,USA,MS,USAPL,,2022-12-10,USA,VA,,Virginia Pro,Yes
Austin Perkins #1,M,SBD,Raw,22.5,20-23,19-23,MR-O,72.5,75,270,282.5,292.5,,292.5,167.5,175,180,,180,280,297.5,317.5,,317.5,790,1,579.43,576.69,558.03,117.22,Yes,USA,MS,USAPL,,2022-08-06,USA,AZ,,UBU Expo - Phoenix,Yes
Austin Perkins #1,M,SBD,Raw,22,20-23,19-23,MR-Jr,73.15,,267.5,282.5,292.5,,292.5,165,175,-185,,175,282.5,300,312.5,,312.5,780,1,568.73,565.72,547.20,115.20,Yes,USA,MS,USAPL,,2021-12-04,USA,VA,,Virginia Pro,Yes
Austin Perkins #1,M,SBD,Raw,21.5,20-23,19-23,MR-O,73.44,74,275,290,-295,,290,165,172.5,180,,180,285,295,300,,300,770,2,559.98,556.88,538.56,113.49,Yes,USA,MS,USAPL,IPF,2021-06-14,USA,FL,Daytona Beach,Raw Nationals,Yes
Austin Perkins #1,M,SBD,Single-ply,21.5,20-23,19-23,M-O,72.42,74,310,320,-328,,320,-180,187.5,200,,200,275,-285,-285,,275,795,2,583.53,580.81,562.04,99.92,Yes,USA,MS,USAPL,IPF,2021-06-14,USA,FL,Daytona Beach,Equipped Nationals,Yes
Austin Perkins #1,M,SBD,Single-ply,21.5,20-23,19-23,M-C,74.1,83,330,-350,-350,,330,160,170,175,,175,285,300,-310.5,,300,805,1,582.03,578.49,559.25,99.67,Yes,USA,MS,USAPL,IPF,2021-04-08,USA,LA,Baton Rouge,Collegiate and Junior Nationals,Yes
Austin Perkins #1,M,SBD,Raw,21,20-23,19-23,MR-G,72.7,74,272.5,285,300,,300,-162.5,170,180,,180,285,305,320,,320,800,G,585.70,582.82,563.90,118.53,Yes,USA,MS,USAPL,IPF,2020-11-14,USA,NE,,Warrior Collegiate Open,Yes
Austin Perkins #1,M,SBD,Raw,20,20-23,19-23,MR-O,73.11,74,260,275,285,,285,152.5,162.5,167.5,,167.5,275,295,305,,305,757.5,2,552.52,549.62,531.64,111.91,Yes,USA,MS,USAPL,IPF,2019-10-16,USA,IL,Lombard,Raw Nationals,Yes
Austin Perkins #1,M,SBD,Raw,20,20-23,19-23,MR-Jr,73.11,74,260,275,285,,285,152.5,162.5,167.5,,167.5,275,295,305,,305,757.5,1,552.52,549.62,531.64,111.91,Yes,USA,MS,USAPL,IPF,2019-10-16,USA,IL,Lombard,Raw Nationals,Yes
Austin Perkins #1,M,SBD,Raw,19.5,20-23,19-23,Open,72.63,74,260,270,275,,275,145,155,-165,,155,270,287.5,307.5,,307.5,737.5,1,540.28,537.67,520.23,109.33,Yes,USA,,IPF,IPF,2019-07-22,Estonia,,Tartu,University Powerlifting Cup,Yes
Austin Perkins #1,M,SBD,Single-ply,19.5,20-23,19-23,M-O,72.55,74,300,315,320,,320,175,185,192.5,,192.5,272.5,282.5,290,,290,802.5,1,588.33,585.52,566.56,100.74,Yes,USA,MS,USAPL,IPF,2019-05-10,USA,IL,,Open Nationals,Yes
Austin Perkins #1,M,SBD,Single-ply,19.5,20-23,19-23,M-Jr,72.55,74,300,315,320,,320,175,185,192.5,,192.5,272.5,282.5,290,,290,802.5,1,588.33,585.52,566.56,100.74,Yes,USA,MS,USAPL,IPF,2019-05-10,USA,IL,,Open Nationals,Yes
Austin Perkins #1,M,SBD,Single-ply,19.5,20-23,19-23,M-C,72.1,74,300,310,-317.5,,310,175,182.5,187.5,,187.5,260,270,285,,285,782.5,1,576.06,573.54,555.11,98.64,Yes,USA,MS,USAPL,IPF,2019-04-12,USA,OH,Columbus,Collegiate Nationals,Yes
