Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Brett Gibbs,M,SBD,Raw,28,24-34,24-39,Open,82.85,83,265,280,290,,290,200,210,216,,216,295,310,-327.5,,310,816,1,551.43,545.26,524.55,113.06,Yes,New Zealand,,CommonwealthPF,IPF,2019-09-15,Canada,,St Johns,Commonwealth Championships,Yes
Brett Gibbs,M,SBD,Raw,28,24-34,24-39,Open,82.45,83,275,285,295,,295,200,-210,210,,210,302.5,315,-322.5,,315,820,2,555.65,549.52,528.76,113.89,Yes,New Zealand,,IPF,IPF,2019-06-04,Sweden,,Helsingborg,World Classic Powerlifting Championships,Yes
Brett Gibbs,M,SBD,Raw,28,24-34,24-39,Open,84.7,93,250,265,280,,280,180,190,200,,200,120,-300,-325,,120,600,2,400.52,395.80,380.38,82.21,Yes,New Zealand,,NZPF,IPF,2019-04-13,New Zealand,MWT,Palmeston North,WCPA Regional Championships,Yes
Brett Gibbs,M,SBD,Raw,27,24-34,24-39,Open,82.62,83,275,290,299,,299,200,209,214,,214,290,305,317.5,,317.5,830.5,1,562.11,555.87,534.82,115.23,Yes,New Zealand,,IPF,IPF,2018-06-06,Canada,,Calgary,World Classic Powerlifting Championships,Yes
Brett Gibbs,M,SBD,Raw,27,24-34,24-39,Open,82.5,83,200,215,225,,225,160,172.5,180,,180,240,260,280,,280,685,1,464.01,458.89,441.54,95.11,Yes,New Zealand,,NZPF,IPF,2018-04-21,New Zealand,HKB,Hastings,Central Districts Powerlifting Championships,Yes
Brett Gibbs,M,SBD,Raw,26,24-34,24-39,Open,86.9,93,270,290,302.5,,302.5,200,210,217.5,,217.5,295,312.5,-320,,312.5,832.5,1,548.12,541.37,519.66,112.61,Yes,New Zealand,,NZPF,IPF,2017-10-29,New Zealand,AKL,Auckland,New Zealand Record Breakers,Yes
Brett Gibbs,M,SBD,Raw,26,24-34,24-39,Open,82.89,83,275,290,-300,,290,192.5,202.5,208.5,,208.5,295,-317.5,-317.5,,295,793.5,2,536.08,530.08,509.93,109.92,Yes,New Zealand,,IPF,IPF,2017-06-14,Belarus,,Minsk,World Classic Powerlifting Championships,Yes
Brett Gibbs,M,SBD,Raw,26,24-34,24-39,Open,82.85,83,270,285,292.5,,292.5,200,-208.5,-208.5,,200,295,310,321.5,,321.5,814,1,550.08,543.93,523.26,112.78,Yes,New Zealand,,PA,IPF,2017-04-29,Australia,NSW,Sydney,Pacific Invitational,Yes
Brett Gibbs,M,SBD,Raw,25,24-34,24-39,Open,82.85,83,265,280,290,,290,195,205,-210,,205,295,312.5,-322.5,,312.5,807.5,1,545.69,539.58,519.09,111.88,Yes,New Zealand,,PA,IPF,2016-12-17,Australia,ACT,Canberra,Capital Christmas Challenge,Yes
Brett Gibbs,M,SBD,Raw,25,24-34,24-39,Open,82.56,83,277.5,-285,-288,,277.5,-190,195,208,,208,285,305,-327.5,,305,790.5,2,535.26,529.33,509.30,109.72,Yes,New Zealand,,IPF,IPF,2016-06-19,USA,TX,Killeen,World Classic Powerlifting Championships,Yes
Brett Gibbs,M,SBD,Raw,25,24-34,24-39,Open,82.48,83,-275,-275,275,,275,190,-206,206,,206,295,320,-330,,320,801,1,542.67,536.67,516.39,111.23,Yes,New Zealand,,NAPF,IPF,2016-03-05,USA,OH,Columbus,Arnolds Slingshot Pro American,Yes
Brett Gibbs,M,SBD,Raw,24,24-34,24-39,Open,82.8,83,265,277.5,285,,285,192.5,200,205.5,,205.5,285,300,310,,310,800.5,1,541.14,535.10,514.79,110.95,Yes,New Zealand,,PA,IPF,2015-09-12,Australia,WA,Perth,Pacific Invitational II,Yes
Brett Gibbs,M,SBD,Raw,24,24-34,24-39,Open,82.4,83,270,-282.5,-283,,270,195,202.5,-205.5,,202.5,290,302.5,-316.5,,302.5,775,1,525.34,519.56,499.94,107.67,Yes,New Zealand,,IPF,IPF,2015-06-05,Finland,,Salo,World Classic Powerlifting Championships,Yes
Brett Gibbs,M,SBD,Raw,24,24-34,24-39,Open,82.4,83,265,280.5,-285,,280.5,190,197.5,200.5,,200.5,290,-302.5,302.5,,302.5,783.5,2,531.10,525.25,505.43,108.86,Yes,New Zealand,,PA,IPF,2015-04-11,Australia,VIC,Melbourne,Pacific Invitational,Yes
Brett Gibbs,M,SBD,Raw,23,20-23,19-23,Juniors,82.15,83,270,-280.5,-280.5,,270,175,186,-191,,186,290,-300,-300,,290,746,1,506.56,501.03,482.18,103.81,Yes,New Zealand,,OceaniaPF,IPF,2014-12-08,Australia,VIC,Melbourne,Asia & Oceania Championships,Yes
Brett Gibbs,M,SBD,Single-ply,23,20-23,19-23,Juniors,82.5,83,340,350,355.5,,355.5,220,227.5,-232.5,,227.5,-290,290,-297.5,,290,873,2,591.36,584.83,562.72,101.17,Yes,New Zealand,,IPF,IPF,2014-09-01,Hungary,,Oroshaza,World Sub-Juniors & Juniors Powerlifting Championships,Yes
Brett Gibbs,M,SBD,Raw,23,20-23,19-23,Juniors,82.25,83,265,275,280,,280,175,182.5,185,,185,290,302.5,305.5,,305.5,770.5,1,522.83,517.10,497.62,107.15,Yes,New Zealand,,IPF,IPF,2014-06-01,South Africa,,Potchefstroom,World Classic Powerlifting Championships,Yes
Brett Gibbs,M,SBD,Raw,23,20-23,19-23,Juniors,82.6,83,260,272.5,-280,,272.5,165,175,180,,180,270,290,300,,300,752.5,1,509.39,503.74,484.67,104.42,Yes,New Zealand,,NZPF,IPF,2014-04-05,New Zealand,WGN,Wellington,Central Districts Championship,Yes
Brett Gibbs,M,SBD,Single-ply,22,20-23,19-23,Juniors,82.75,83,325,340,-355,,340,215,,,,215,280,-300,-300,,280,835,1,564.66,558.36,537.18,96.59,Yes,New Zealand,,CommonwealthPF,IPF,2013-12-05,New Zealand,AKL,Auckland,Commonwealth & Oceania Championships,Yes
Brett Gibbs,M,SBD,Raw,22,20-23,19-23,Juniors,82.3,83,245,255,-265,,255,162.5,172.5,-180,,172.5,270,282.5,285,,285,712.5,1,483.31,478.00,459.98,99.05,Yes,New Zealand,,CommonwealthPF,IPF,2013-12-05,New Zealand,AKL,Auckland,Commonwealth & Oceania Championships,Yes
Brett Gibbs,M,SBD,Single-ply,22,20-23,19-23,Juniors,82.14,83,-320,320,-337.5,,320,215,225,230,,230,280,-292.5,-292.5,,280,830,2,563.63,557.49,536.52,96.43,Yes,New Zealand,,IPF,IPF,2013-08-27,USA,TX,Killeen,World Juniors & Sub-Juniors Championships,Yes
Brett Gibbs,M,SBD,Raw,22,20-23,19-23,Juniors,82.8,83,240,252.5,-255,,252.5,160,170,,,170,260,280,-300,,280,702.5,1,474.89,469.59,451.76,97.36,Yes,New Zealand,,NZPF,IPF,2013-04-27,New Zealand,WGN,Wellington,Central Districts Classic Championship,Yes
Brett Gibbs,M,SBD,Single-ply,22,20-23,19-23,Open,81.6,83,-315,315,332.5,,332.5,200,210,-220,,210,275,-300,-300,,275,817.5,1,557.24,551.29,530.72,95.35,Yes,New Zealand,,PA,IPF,2013-04-20,Australia,NSW,Sydney,Total Strength Elite Max II,Yes
Brett Gibbs,M,SBD,Single-ply,21,20-23,19-23,Juniors,82.2,83,300,-310,317.5,,317.5,-210,-210,-210,,,260,-280,-280,,260,,DQ,,,,,Yes,New Zealand,,NZPF,IPF,2012-11-25,New Zealand,WGN,Wellington,NZ Record Breakers,Yes
Brett Gibbs,M,SBD,Single-ply,21,20-23,19-23,Juniors,83,83,,,,,280,,,,,212.5,,,,,272.5,765,1,516.44,510.64,491.20,88.34,Yes,New Zealand,,NZPF,IPF,2012-08-05,New Zealand,OTA,Dunedin,National Powerlifting Championships,Yes
Brett Gibbs,M,SBD,Single-ply,21,20-23,19-23,Juniors,82.9,83,260,280,295,,295,192.5,200,-205,,200,240,260,267.5,,267.5,762.5,1,515.10,509.33,489.97,88.11,Yes,New Zealand,,NZPF,IPF,2012-06-09,New Zealand,BOP,Tauranga,North Island Powerlifting Championships,Yes
