Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Dennis Cornelius,M,SBD,Raw,40.5,40-44,40-49,MR-O,119.52,120,345,-365,365,,365,235,245,-250,,245,290,305,315,,315,925,1,531.94,532.30,510.06,107.72,Yes,USA,OK,USAPL,IPF,2021-06-14,USA,FL,Daytona Beach,Raw Nationals,Yes
Dennis Cornelius,M,B,Raw,40,40-44,40-49,Open,124.7,125,,,,,,240,250,255,,255,,,,,,255,1,144.63,145.38,139.15,105.85,Yes,USA,OK,USPA,IPL,2020-10-03,USA,CA,Newport Beach,Drug Tested Metroflex Classic,Yes
Dennis Cornelius,M,D,Raw,40,40-44,40-49,Masters 40-44,124.7,125,,,,,,,,,,,325,345,352.5,,352.5,352.5,1,199.93,200.97,192.36,,Yes,USA,OK,USPA,IPL,2020-10-03,USA,CA,Newport Beach,Drug Tested Metroflex Classic,Yes
Dennis Cornelius,M,D,Raw,40,40-44,40-49,Open,124.7,125,,,,,,,,,,,325,345,352.5,,352.5,352.5,1,199.93,200.97,192.36,,Yes,USA,OK,USPA,IPL,2020-10-03,USA,CA,Newport Beach,Drug Tested Metroflex Classic,Yes
Dennis Cornelius,M,B,Raw,40,40-44,40-49,Masters 40-44,124.7,125,,,,,,240,250,255,,255,,,,,,255,1,144.63,145.38,139.15,105.85,Yes,USA,OK,USPA,IPL,2020-10-03,USA,CA,Newport Beach,Drug Tested Metroflex Classic,Yes
Dennis Cornelius,M,SBD,Raw,40,40-44,40-49,Open,124.7,125,365,395,,,395,240,250,255,,255,325,345,352.5,,352.5,1002.5,1,568.60,571.55,547.07,114.62,Yes,USA,OK,USPA,IPL,2020-10-03,USA,CA,Newport Beach,Drug Tested Metroflex Classic,Yes
Dennis Cornelius,M,SBD,Raw,40,40-44,40-49,Masters 40-44,124.7,125,365,395,,,395,240,250,255,,255,325,345,352.5,,352.5,1002.5,1,568.60,571.55,547.07,114.62,Yes,USA,OK,USPA,IPL,2020-10-03,USA,CA,Newport Beach,Drug Tested Metroflex Classic,Yes
Dennis Cornelius,M,SBD,Raw,39,35-39,24-39,MR-O,119.29,120,360,375,387,,387,235,242.5,-245,,242.5,305,317.5,-322.5,,317.5,947,1,544.95,545.21,522.42,110.37,Yes,USA,OK,USAPL,IPF,2019-10-16,USA,IL,Lombard,Raw Nationals,Yes
Dennis Cornelius,M,SBD,Raw,39,35-39,24-39,MR-O,118.79,120,357.5,375,,,375,235,242.5,-245,,242.5,-320,,,,,,DQ,,,,,Yes,USA,OK,USAPL,IPF,2019-07-14,USA,FL,,Ray Williams Classic,Yes
Dennis Cornelius,M,SBD,Raw,38,35-39,24-39,MR-O,118.9,120,360,380,387.5,,387.5,217.5,227.5,-237.5,,227.5,320,-332.5,-332.5,,320,935,1,538.64,538.72,516.17,109.13,Yes,USA,OK,USAPL,IPF,2019-04-06,USA,GA,,Georgia Spring Open,Yes
