Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Jesus Olivares,M,SBD,Raw,27.5,24-34,24-39,Open,186.1,120+,430,450,460,,460,235,250,257.5,,257.5,377.5,-392.5,-392.5,,377.5,1095,1,556.97,586.30,548.72,107.88,Yes,USA,,IPF,IPF,2026-06-13,Lithuania,,Druskininkai,World Classic Powerlifting Championships,Yes
Jesus Olivares,M,SBD,Raw,27,24-34,24-39,MR-O,181.72,120+,410,440,,,440,230,245,252.5,,252.5,375,400,417.5,,417.5,1110,1,567.94,596.48,558.23,110.18,Yes,USA,TX,AMP,IPF,2026-03-05,USA,NV,Lake Tahoe,Open Nationals,Yes
Jesus Olivares,M,SBD,Raw,27,24-34,24-39,MR-O,182.4,120+,430,455,478.5,,478.5,245,265,-275,,265,375,410,-430,,410,1153.5,3,589.64,619.49,579.79,114.36,Yes,USA,TX,AMP,IPF,2025-11-22,USA,TX,Austin,SBD Austin,Yes
Jesus Olivares,M,SBD,Raw,26.5,24-34,24-39,Open,179.09,120+,430,-455,-455,,430,252.5,265,270,,270,370,-395,-395,,370,1070,1,549.48,576.31,539.27,106.71,Yes,USA,,IPF,IPF,2025-06-08,Germany,,Chemnitz,World Classic Powerlifting Championships,Yes
Jesus Olivares,M,SBD,Raw,26,24-34,24-39,Open,178.84,,425,455,-465,,455,255,265,272.5,,272.5,385,-411.5,-411.5,,385,1112.5,9,571.50,599.34,560.81,111.00,Yes,USA,,IPF,IPF,2025-01-26,UK,,Sheffield,Sheffield Powerlifting Championships,Yes
Jesus Olivares,M,SBD,Raw,25.5,24-34,24-39,Open,179.9,120+,425,455,,,455,245,255,262.5,,262.5,365,385,395,,395,1112.5,1,570.65,598.77,560.32,110.79,Yes,USA,,IPF,IPF,2024-06-15,Lithuania,,Druskininkai,World Classic Powerlifting Championships,Yes
Jesus Olivares,M,SBD,Raw,25,24-34,24-39,Open,186.7,,425,455,478,,478,255,-275,-275,,255,-380,380,-429,,380,1113,11,565.69,595.66,557.47,109.54,Yes,USA,,IPF,IPF,2024-02-10,UK,,Sheffield,Sheffield Powerlifting Championships,Yes
Jesus Olivares,M,SBD,Raw,24.5,24-34,24-39,Open,181.1,120+,425,455,,,455,-250,250,-267.5,,250,350,375,-410.5,,375,1080,1,553.06,580.67,543.42,107.32,Yes,USA,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships,Yes
Jesus Olivares,M,SBD,Raw,24,24-34,24-39,Open,178.2,,425,455,470,,470,250,265,272.5,,272.5,370,399,410,,410,1152.5,1,592.59,621.24,581.27,115.12,Yes,USA,,IPF,IPF,2023-03-25,UK,,Sheffield,Sheffield Powerlifting Championships,Yes
Jesus Olivares,M,SBD,Raw,23.5,24-34,24-39,Open,174.7,120+,410,-430,-440,,410,235,250,260,,260,352.5,-380,-380,,352.5,1022.5,1,528.40,552.94,517.18,102.81,Yes,USA,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Jesus Olivares,M,SBD,Raw,23,20-23,24-39,MR-O,173.4,120+,410,435,450,,450,240,250,257.5,,257.5,355,385,402.5,,402.5,1110,1,574.71,600.98,562.03,111.88,Yes,USA,TX,AMP,IPF,2022-04-01,USA,TX,Austin,Classic Open Nationals Presented by SBD,Yes
Jesus Olivares,M,SBD,Raw,22.5,20-23,19-23,Open,167.02,120+,387.5,412.5,427.5,,427.5,232.5,245,252.5,,252.5,342.5,365,-377.5,,365,1045,1,546.30,569.16,531.86,106.68,Yes,US Virgin Islands,,IPF,IPF,2021-09-23,Sweden,,Halmstad,World Classic Powerlifting Championships,Yes
Jesus Olivares,M,SBD,Raw,22.5,20-23,19-23,MR-O,167.76,120+,395,417.5,425,,425,235,242.5,250,,250,345,-370,-382.5,,345,1020,1,532.62,555.17,518.82,103.97,Yes,USA,TX,USAPL,IPF,2021-06-14,USA,FL,Daytona Beach,Raw Nationals,Yes
Jesus Olivares,M,SBD,Raw,22,20-23,19-23,MR-O,157.8,120+,375,395,410,,410,222.5,232.5,245.5,,245.5,357.5,382.5,400,,400,1055.5,1,560.02,579.81,545.01,109.94,Yes,USA,TX,USAPL,IPF,2020-12-12,USA,TX,,Collegiate Cup and Texas Open,Yes
Jesus Olivares,M,SBD,Raw,22,20-23,19-23,MR-Jr,157.8,120+,375,395,410,,410,222.5,232.5,245.5,,245.5,357.5,382.5,400,,400,1055.5,1,560.02,579.81,545.01,109.94,Yes,USA,TX,USAPL,IPF,2020-12-12,USA,TX,,Collegiate Cup and Texas Open,Yes
Jesus Olivares,M,SBD,Raw,21.5,20-23,19-23,MR-Jr,157.65,120+,347.5,365,385,,385,215,227.5,235,,235,347.5,365,-380,,365,985,1,522.75,541.15,508.74,102.63,Yes,USA,TX,USAPL,IPF,2020-06-27,USA,TX,,Capital City Classic,Yes
Jesus Olivares,M,SBD,Raw,21.5,20-23,19-23,MR-O,157.65,120+,347.5,365,385,,385,215,227.5,235,,235,347.5,365,-380,,365,985,1,522.75,541.15,508.74,102.63,Yes,USA,TX,USAPL,IPF,2020-06-27,USA,TX,,Capital City Classic,Yes
Jesus Olivares,M,SBD,Raw,21,20-23,19-23,MR-Jr,153.7,120+,310,325,340,,340,200,207.5,215,,215,327.5,347.5,-362.5,,347.5,902.5,1,482.18,497.63,469.28,94.92,Yes,USA,TX,USAPL,IPF,2019-12-21,USA,TX,,Winter Iron Open,Yes
Jesus Olivares,M,SBD,Single-ply,16,16-17,14-18,Boys,117.39,124.7,,,,,281.23,,,,,,,,,,,,DQ,,,,,Yes,,,THSPA,,2015-03-28,USA,TX,Abilene,State Championships Division 1,Yes
