Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
John Haack,M,SBD,Raw,33,24-34,24-39,Open,99.3,100,320,352.5,-377.5,,352.5,230,250,265,,265,370,395,-415,,395,1012.5,1,625.12,617.94,590.28,128.34,,USA,WI,PLU,,2026-03-14,USA,FL,Crestview,The Bar Showdown,Yes
John Haack,M,SBD,Raw,33,24-34,24-39,Pro,98.7,,320,350,372.5,,372.5,230,250,-260,,250,370,392.5,-402.5,,392.5,1015,6,628.33,621.01,593.28,129.03,,USA,,ABS,,2026-02-14,Ireland,,Dublin,Clash of Titans 4,Yes
John Haack,M,SBD,Raw,32,24-34,24-39,Open,87.7,90,325,352.5,-370,,352.5,230,245,-252.5,,245,365,395,413,,413,1010.5,1,662.12,653.87,627.40,136.07,,USA,WI,PLU,,2025-09-13,USA,IL,Carol Stream,POWER SURGE PRO/AM IX,Yes
John Haack,M,SBD,Raw,32,24-34,24-39,Open,96.1,,-330,350,-370,,350,220,240,245,,245,365,395,-410,,395,990,8,620.26,612.65,585.70,127.47,,USA,,ABS,,2025-04-19,Ireland,,Dublin,Clash of Titans 3,Yes
John Haack,M,SBD,Raw,31,24-34,24-39,Pro Open,87.2,90,325,-350,365.5,,365.5,235,255,262.5,,262.5,-385,385,,,385,1013,1,665.75,657.51,631.05,136.80,,USA,WI,PLU,,2024-09-28,USA,IL,Carol Stream,Power Surge Pro/Am VIII,Yes
John Haack,M,SBD,Raw,31,24-34,24-39,Pro MR-O,93.45,100,325,350,365,,365,235,252.5,-265,,252.5,370,400,426,,426,1043.5,1,662.39,654.03,625.85,136.19,,USA,WI,WRPF,WRPF,2024-04-06,USA,FL,Miami,The Ghost Clash 3,Yes
John Haack,M,SBD,Raw,30,24-34,24-39,Open,89.7,90,320,345,362.5,,362.5,232.5,250,-260,,250,375,395,-412.5,,395,1007.5,1,652.55,644.28,617.57,134.16,,USA,WI,WRPF,WRPF,2023-10-28,USA,VA,Manassas,The American Pro 2,Yes
John Haack,M,SBD,Raw,30,24-34,24-39,Pro Open,92.8,100,320,340,355,,355,237.5,255,-270,,255,375,400,-412.5,,400,1010,1,643.28,635.12,607.93,132.27,,USA,,WRPF,WRPF,2023-02-18,USA,FL,Miami,The Ghost Clash 2,Yes
John Haack,M,SBD,Raw,29,24-34,24-39,Open,95.6,100,317.5,337.5,347.5,,347.5,240,257.5,272.5,,272.5,375,-395,410,,410,1030,1,646.87,638.88,610.88,132.95,,USA,CA,USPA,IPL,2022-09-24,USA,MO,North Kansas City,Pro Raw Championships,Yes
John Haack,M,SBD,Raw,29,24-34,24-39,Open,89.9,90,325,345,-365.5,,345,237.5,255,267.5,,267.5,370,395,410,,410,1022.5,1,661.52,653.13,625.99,136.01,,USA,CA,WRPF,WRPF,2022-07-29,USA,VA,Manassas,American Pro,Yes
John Haack,M,SBD,Raw,28,24-34,24-39,Open,92.7,100,310,332.5,-342.5,,332.5,237.5,255,267.5,,267.5,-375,390,-410,,390,990,1,630.87,622.87,596.22,129.72,,USA,CA,USPA,IPL,2022-01-15,USA,FL,Miami,Hybrid Showdown 4,Yes
John Haack,M,SBD,Raw,28,24-34,24-39,Open,89.5,90,322.5,340,-347.5,,340,235,250,263,,263,365,385,402.5,,402.5,1005.5,1,651.99,643.74,617.11,134.04,,USA,CA,WRPF,WRPF,2021-09-25,USA,MO,Kansas City,The Bucked Up Showdown,Yes
John Haack,M,SBD,Raw,28,24-34,24-39,Open,90,90,302.5,322.5,337.5,,337.5,232.5,252.5,262.5,,262.5,370,-400,-400,,370,970,2,627.20,619.24,593.48,128.95,,USA,CA,WRPF,WRPF,2021-04-24,USA,CA,San Diego,Kern US Open,Yes
John Haack,M,SBD,Raw,28,24-34,24-39,Open,89.9,90,300,320,330,,330,227.5,250,260,,260,345,377.5,-400.5,,377.5,967.5,1,625.94,618.00,592.32,128.69,,USA,,WRPF,WRPF,2021-02-20,USA,FL,Miami,Hybrid Showdown III,Yes
John Haack,M,SBD,Raw,27,24-34,24-39,Open,89.6,90,297.5,-320,-327.5,,297.5,225,242.5,255,,255,340,365,385,,385,937.5,1,607.55,599.86,575.02,124.91,,USA,WI,WRPF,WRPF,2020-09-26,USA,MO,North Kansas City,The Showdown,Yes
John Haack,M,SBD,Raw,26,24-34,24-39,Open,89.7,90,-287.5,310,327.5,,327.5,212.5,225,237.5,,237.5,330,360,367.5,,367.5,932.5,1,603.97,596.32,571.59,124.17,,USA,WI,USPA,IPL,2020-01-18,USA,WI,Milwaukee,Metroflex Powermania,Yes
John Haack,M,SBD,Raw,26,24-34,24-39,Open,82.4,82.5,,,,,312.5,,,,,232.5,,,,,362.5,907.5,1,615.16,608.38,585.42,126.08,,USA,,USPA,IPL,2019-08-03,USA,TX,San Antonio,The Tribute,Yes
John Haack,M,SBD,Raw,26,24-34,24-39,Open,82.5,82.5,,,,,307.5,,,,,227.5,,,,,355,890,1,602.88,596.22,573.68,123.58,,USA,WI,USPA,IPL,2019-04-20,USA,WI,Sheboygan,Razor's Barbell Mayhem,Yes
John Haack,M,D,Raw,25,24-34,24-39,Open,82.4,82.5,,,,,,,,,,,,,,,350,350,1,237.25,234.64,225.78,,,USA,,USA-UA,,2018-12-15,USA,FL,Miami,Hybrid Deadlift Invitational,Yes
John Haack,M,SBD,Raw,25,24-34,24-39,Open,82.4,82.5,,,,,302.5,,,,,225,,,,,347.5,875,1,593.13,586.59,564.45,121.57,,USA,WI,USPA,IPL,2018-12-15,USA,FL,Miami,Florida SLG Series Presents Hybrid Performance Method,Yes
John Haack,M,SBD,Raw,25,24-34,24-39,Open,82.2,82.5,,,,,267.5,,,,,222.5,,,,,335,825,1,560.01,553.88,533.03,114.76,,USA,WI,USPA,IPL,2018-08-25,USA,TX,,The Tribute,Yes
John Haack,M,SBD,Raw,25,24-34,24-39,Open,82.3,82.5,,,,,,,,,,,,,,,,,DQ,,,,,,USA,WI,USPA,IPL,2018-05-12,USA,CA,San Diego,Kern US Open,Yes
John Haack,M,SBD,Raw,24,24-34,24-39,Pro MR-O,82.2,82.5,275,,,,275,182.5,,,,182.5,300,317.5,330,,330,787.5,1,534.55,528.71,508.80,109.55,,USA,,WRPF,WRPF,2017-08-25,USA,CA,Mountain View,Boss of Bosses 4,Yes
