Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Joseph Borenstein,M,SBD,Raw,23,20-23,24-39,Open,82.6,83,-282.5,295,305,,305,207.5,-210,,,207.5,345,-372.5,-372.5,,345,857.5,2,580.47,574.03,552.30,118.99,Yes,USA,,IPF,IPF,2026-06-13,Lithuania,,Druskininkai,World Classic Powerlifting Championships,Yes
Joseph Borenstein,M,SBD,Raw,23,20-23,24-39,MR-O,82.42,83,280,297.5,305,,305,207.5,217.5,-221.5,,217.5,330,355,370,,370,892.5,1,604.91,598.24,575.65,123.98,Yes,USA,FL,AMP,IPF,2026-03-05,USA,NV,Lake Tahoe,Open Nationals,Yes
Joseph Borenstein,M,SBD,Raw,23,20-23,24-39,Open,82.7,,287.5,305,-312.5,,305,210,219,-224,,219,332.5,-357.5,-380.5,,332.5,856.5,11,579.39,572.95,551.23,118.78,Yes,USA,,IPF,IPF,2026-01-31,UK,,Sheffield,Sheffield Powerlifting Championships,Yes
Joseph Borenstein,M,SBD,Raw,22,20-23,19-23,MR-O,82.95,,280,297.5,307.5,,307.5,-205,212.5,219,,219,352.5,377.5,-386,,377.5,904,2,610.49,603.64,580.67,125.18,Yes,USA,,AMP,IPF,2025-10-11,USA,TX,Houston,Avancus Houston Primetime,Yes
Joseph Borenstein,M,SBD,Raw,22,20-23,19-23,Open,82.84,83,275,292.5,302.5,,302.5,202.5,212.5,215,,215,332.5,357.5,372.5,,372.5,890,1,601.48,594.76,572.16,123.32,Yes,USA,,IPF,IPF,2025-06-08,Germany,,Chemnitz,World Classic Powerlifting Championships,Yes
Joseph Borenstein,M,SBD,Raw,22,20-23,19-23,MR-O,82.91,83,277.5,295,305,,305,202.5,212,218,,218,355,377,-400,,377,900,1,607.95,601.14,578.28,124.65,Yes,USA,FL,AMP,IPF,2025-04-03,USA,GA,College Park,Classic Open Nationals,Yes
Joseph Borenstein,M,SBD,Raw,21,20-23,19-23,MR-O,82.8,,267.5,285,295,,295,192.5,205,210,,210,315,340,360,,360,865,1,584.74,578.21,556.26,119.89,Yes,USA,FL,AMP,IPF,2024-07-27,USA,NC,Durham,SBD Raleigh Prime Time,Yes
Joseph Borenstein,M,SBD,Raw,21,20-23,19-23,MR-Jr,82.2,83,267.5,-285,-295,,267.5,192.5,203,-210.5,,203,65,,,,65,535.5,11,363.49,359.52,345.99,74.49,Yes,USA,FL,AMP,IPF,2024-05-17,USA,TX,Austin,Classic Age Division National Championships,Yes
Joseph Borenstein,M,SBD,Raw,21,20-23,19-23,MR-O,81.13,83,75,,,,75,75,,,,75,75,,,,75,225,2,153.88,152.27,146.62,31.51,Yes,USA,FL,AMP,IPF,2024-03-23,USA,FL,Orlando,4th Annual TFX Training Facility Open Championships,Yes
Joseph Borenstein,M,SBD,Raw,21,20-23,19-23,MR-O,74.97,,255,-272.5,285,,285,182.5,195,202.5,,202.5,310,332.5,-341,,332.5,820,1,588.44,584.46,564.74,119.57,Yes,USA,FL,USAPL,,2024-03-02,USA,OH,,Arnold Pro Series Raw Finals,Yes
