Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Kjell Egil Bakkelund,M,SBD,Raw,37.5,35-39,24-39,Open,65.75,66,245,252.5,257.5,,257.5,180,185,187.5,,187.5,285,300,310,,310,755,1,593.23,594.68,577.96,117.93,Yes,Norway,,IPF,IPF,2026-06-13,Lithuania,,Druskininkai,World Classic Powerlifting Championships,Yes
Kjell Egil Bakkelund,M,SBD,Raw,,,,Open,65.64,,252.5,260,-265,,260,192.5,197.5,-200,,197.5,305,318.5,324.5,,324.5,782,2,615.21,616.80,599.51,122.25,Yes,Norway,,IPF,IPF,2026-01-31,UK,,Sheffield,Sheffield Powerlifting Championships,Yes
Kjell Egil Bakkelund,M,SBD,Raw,,,,Open,73.1,74,245,255,260,,260,187.5,195,-200,,195,295,310,325,,325,780,1,568.98,566.00,547.49,115.24,Yes,Norway,,NSF,IPF,2025-10-26,Norway,,Lillestrøm,NM styrkeløft Utstyrsfritt,Yes
Kjell Egil Bakkelund,M,SBD,Raw,36.5,35-39,24-39,Middle,74.9,,245,255,260,,260,185,192.5,197.5,,197.5,290,305,317.5,,317.5,775,3,556.48,552.75,534.12,113.07,Yes,Norway,,IPF,IPF,2025-08-14,China,,Chengdu,World Games,Yes
Kjell Egil Bakkelund,M,SBD,Raw,36.5,35-39,24-39,Open,65.85,66,235,242.5,247.5,,247.5,177.5,185,-190,,185,290,305,310,,310,742.5,1,582.75,584.10,567.64,115.88,Yes,Norway,,IPF,IPF,2025-06-08,Germany,,Chemnitz,World Classic Powerlifting Championships,Yes
Kjell Egil Bakkelund,M,SBD,Raw,36.5,35-39,24-39,Open,73.5,74,250,260,267.5,,267.5,192.5,-200,-200,,192.5,290,305,315,,315,775,1,563.31,560.17,541.72,114.18,Yes,Norway,,EPF,IPF,2025-03-18,Spain,,Malaga,European Open Classic Powerlifting Championship,Yes
Kjell Egil Bakkelund,M,SBD,Raw,,,,Open,65.95,,245,252.5,257.5,,257.5,190,-195,195,,195,308,-317.5,317.5,,317.5,770,1,603.65,604.98,587.88,120.08,Yes,Norway,,IPF,IPF,2025-01-26,UK,,Sheffield,Sheffield Powerlifting Championships,Yes
Kjell Egil Bakkelund,M,SBD,Raw,35.5,35-39,24-39,Open,73.55,74,260,272.5,-277.5,,272.5,197.5,207.5,-210,,207.5,322.5,332.5,-337.5,,332.5,812.5,2,590.31,586.99,567.64,119.66,Yes,Norway,,IPF,IPF,2024-06-15,Lithuania,,Druskininkai,World Classic Powerlifting Championships,Yes
Kjell Egil Bakkelund,M,SBD,Raw,,,,Open,73.07,74,232.5,245,252.5,,252.5,190,200,,,200,280,300,310,,310,762.5,1,556.37,553.46,535.38,112.68,Yes,Norway,,NSF,IPF,2024-03-22,Norway,,Oslo,Oslo SK NM styrkeløft utstyrsfritt,Yes
Kjell Egil Bakkelund,M,SBD,Raw,,,,Open,73.73,,252.5,262.5,270,,270,192.5,200,205,,205,312.5,327.5,340,,340,815,1,591.18,587.77,568.34,119.88,Yes,Norway,,IPF,IPF,2024-03-15,UK,,Birmingham,Arnold Sports Festival UK,Yes
Kjell Egil Bakkelund,M,SBD,Raw,34.5,24-34,24-39,Open,73.65,74,245,255,262.5,,262.5,192.5,202.5,207.5,,207.5,310,322.5,330,,330,800,1,580.71,577.40,558.34,117.74,Yes,Norway,,EPF,IPF,2023-12-04,Estonia,,Tartu,European Open Classic Powerlifting Championships,Yes
Kjell Egil Bakkelund,M,SBD,Single-ply,,,,Open,78.7,83,280,-300,310,,310,210,220,230,,230,280,295,-312.5,,295,835,1,581.42,576.05,555.45,99.54,Yes,Norway,,NSF,IPF,2023-06-17,Norway,,Stjørdal,KK-67 NM styrkeløft utstyr,Yes
Kjell Egil Bakkelund,M,SBD,Raw,34.5,24-34,24-39,Open,73.4,74,232.5,242.5,250,,250,182.5,187.5,192.5,,192.5,300,317.5,-328,,317.5,760,4,552.91,549.86,531.79,112.05,Yes,Norway,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships,Yes
