Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Panagiotis Tarinidis,M,SBD,Raw,31,24-34,24-39,Open,73.57,74,260,272.5,277.5,,277.5,170,-182.5,-182.5,,170,270,285,290,,290,737.5,3,535.72,532.70,515.14,108.60,Yes,France,,FFForce,IPF,2025-12-17,France,,Marseille,Championnats de France de Force Athlétique Open,Yes
Panagiotis Tarinidis,M,SBD,Raw,30,24-34,24-39,Prime Time,73.71,,260,-275,-280,,260,165,180,187.5,,187.5,270,285,-300,,285,732.5,9,531.43,528.37,510.91,107.76,Yes,France,,FFForce,IPF,2025-10-25,France,,Saint-Germain-en-Laye,Silent Worker Meet 8,Yes
Panagiotis Tarinidis,M,SBD,Raw,30,24-34,24-39,Prime Time,69.5,,230,245,250,,250,160,170,-172.5,,170,260,280,285,,285,705,3,532.21,531.24,514.99,106.95,Yes,France,,FFForce,IPF,2025-02-22,France,,Montpellier,Silent Worker Meet - Winter Edition,Yes
Panagiotis Tarinidis,M,SBD,Raw,30,24-34,24-39,Open,65.8,,235,250,-252.5,,250,165,-175,-175,,165,270,282.5,-287.5,,282.5,697.5,10,547.74,549.04,533.59,108.90,Yes,France,,IPF,IPF,2025-01-26,UK,,Sheffield,Sheffield Powerlifting Championships,Yes
Panagiotis Tarinidis,M,SBD,Raw,30,24-34,24-39,Hors Match,69.72,,240,255,260,,260,165,175,180,,180,270,285,290,,290,730,G,549.87,548.74,531.88,110.56,Yes,France,,FFForce,IPF,2024-11-30,France,,Lacroix-Saint-Ouen,SBD Showdown - North Qualification,Yes
Panagiotis Tarinidis,M,SBD,Raw,29,24-34,24-39,Open,65.7,66,235,250,-253,,250,165,176,178,,178,270,285,-290,,285,713,1,560.55,561.95,546.17,111.41,Yes,France,,FFForce,IPF,2024-10-30,France,,Le Crès,Championnats de France Open de Force Athlétique,Yes
Panagiotis Tarinidis,M,SBD,Raw,29,24-34,24-39,Prime Time,65.87,,-235,242.5,247.5,,247.5,162.5,172.5,-175,,172.5,260,280,-290,,280,700,4,549.27,550.53,535.00,109.23,Yes,France,,FFForce,IPF,2024-06-29,France,,Nîmes,Silent Worker Meet 6,Yes
Panagiotis Tarinidis,M,SBD,Raw,29,24-34,24-39,Open,65.65,66,240,247.5,-250,,247.5,165,172.5,175,,175,270,285,-287.5,,285,707.5,3,556.54,557.97,542.32,110.60,Yes,France,,IPF,IPF,2024-06-15,Lithuania,,Druskininkai,World Classic Powerlifting Championships,Yes
Panagiotis Tarinidis,M,SBD,Raw,29,24-34,24-39,Open,65.79,,240,-252.5,-252.5,,240,160,170,172.5,,172.5,270,290,-297.5,,290,702.5,5,551.73,553.05,537.48,109.69,Yes,France,,IPF,IPF,2024-02-10,UK,,Sheffield,Sheffield Powerlifting Championships,Yes
Panagiotis Tarinidis,M,SBD,Raw,29,24-34,24-39,Prime Time,68.9,,225,240,247.5,,247.5,160,170,172.5,,172.5,270,-290,-290,,270,690,1,524.07,523.44,507.63,105.15,Yes,France,,FFForce,IPF,2023-12-16,France,,Lyon,Silent Worker Meet - Winter Edition,Yes
Panagiotis Tarinidis,M,SBD,Raw,29,24-34,24-39,Open,65.66,66,230,-245,-245,,230,160,170,,,170,260,280,-290,,280,680,1,534.85,536.21,521.17,106.29,Yes,France,,EPF,IPF,2023-12-04,Estonia,,Tartu,European Open Classic Powerlifting Championships,Yes
Panagiotis Tarinidis,M,SBD,Raw,28,24-34,24-39,Open,65.8,66,235,250,-253,,250,162.5,172.5,-174,,172.5,270,-292.5,-292.5,,270,692.5,1,543.82,545.11,529.76,108.12,Yes,France,,FFForce,IPF,2023-09-20,France,,Le Crès,Championnats de France Élite de Force Athlétique,Yes
Panagiotis Tarinidis,M,SBD,Raw,28,24-34,24-39,Prime Time,65.99,,230,245,-250,,245,160,170,-175,,170,260,282.5,-287.5,,282.5,697.5,3,546.57,547.74,532.25,108.74,Yes,France,,FFForce,IPF,2023-07-01,France,,Saint-Germain-en-Laye,Silent Worker Meet,Yes
Panagiotis Tarinidis,M,SBD,Raw,28,24-34,24-39,Open,65.95,66,235,247.5,-252.5,,247.5,165,170,172.5,,172.5,270,285,-292.5,,285,705,1,552.70,553.91,538.26,109.94,Yes,France,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships,Yes
Panagiotis Tarinidis,M,SBD,Raw,28,24-34,24-39,Seniors,66,66,225,240,-245,,240,160,165,167.5,,167.5,270,280,-285,,280,687.5,1,538.67,539.82,524.55,107.17,Yes,France,,FFForce,IPF,2023-03-19,France,,Albi,Test de sélection aux Championnats du Monde Open,Yes
Panagiotis Tarinidis,M,SBD,Raw,28,24-34,24-39,Open,65.83,66,-242.5,-242.5,-242.5,,-242.5,,,,,,,,,,,,DQ,,,,,Yes,France,,EPF,IPF,2022-11-25,Poland,,Skierniewice,European Classic Powerlifting Championships,Yes
Panagiotis Tarinidis,M,SBD,Raw,27,24-34,24-39,Prime Time,66.79,,245,260,-265,,260,152.5,-157.5,-157.5,,152.5,270,280,-287.5,,280,692.5,2,537.86,538.49,522.97,107.27,Yes,France,,FFForce,IPF,2022-07-02,France,,Saint-Germain-en-Laye,Silent Worker Meet,Yes
Panagiotis Tarinidis,M,SBD,Raw,27,24-34,24-39,Open,66,66,235,245,250,,250,155,-160,-160,,155,265,-277.5,-282.5,,265,670,5,524.96,526.08,511.20,104.44,Yes,France,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Panagiotis Tarinidis,M,SBD,Raw,27,24-34,24-39,Open,65.85,66,242.5,250,-252.5,,250,165,170,-172.5,,170,270,277.5,280,,280,700,1,549.40,550.67,535.15,109.25,Yes,France,,EPF,IPF,2021-12-03,Sweden,,Vasteras,European Classic Powerlifting Championships,Yes
Panagiotis Tarinidis,M,SBD,Raw,26,24-34,24-39,Open,65.82,66,-240,240,247.5,,247.5,160,165,167.5,,167.5,270,277.5,-285,,277.5,692.5,1,543.69,544.97,529.62,108.11,Yes,France,,IPF,IPF,2021-09-23,Sweden,,Halmstad,World Classic Powerlifting Championships,Yes
Panagiotis Tarinidis,M,SBD,Raw,26,24-34,24-39,Open,65.62,66,245,-252.5,252.5,,252.5,160,168.5,-170,,168.5,267.5,-277.5,-277.5,,267.5,688.5,1,541.78,543.19,527.97,107.65,Yes,France,,FFForce,IPF,2021-07-16,France,,Port-la-Nouvelle,Championnats de France Jeunes et Élite de Force Athlétique,Yes
Panagiotis Tarinidis,M,SBD,Raw,26,24-34,24-39,Prime Time,67.72,74,245,255,260,,260,160,167.5,-170,,167.5,267.5,-280,280,,280,707.5,1,544.02,544.08,528.05,108.80,Yes,France,,FFForce,IPF,2021-07-03,France,,Saint-Germain-en-Laye,Silent Worker Meet,Yes
Panagiotis Tarinidis,M,SBD,Raw,26,24-34,24-39,Seniors,65.67,66,240,247.5,-252.5,,247.5,160,165,168.5,,168.5,267.5,280,-290,,280,696,1,547.37,548.76,533.36,108.78,Yes,France,,FFForce,IPF,2021-02-13,France,,Bordeaux,Test Match Eleiko,Yes
Panagiotis Tarinidis,M,SBD,Raw,25,24-34,24-39,Prime Time,68.35,74,75,,,,75,162.5,170,-172.5,,170,75,,,,75,320,4,244.43,244.29,236.99,48.97,Yes,France,,FFForce,IPF,2020-09-12,France,,Saint-Germain-en-Laye,Silent Worker Meet,Yes
Panagiotis Tarinidis,M,SBD,Raw,24,24-34,24-39,Open,66.95,,225,-232.5,232.5,,232.5,162.5,167.5,170,,170,245,260,267.5,,267.5,670,2,519.48,519.99,504.94,103.66,Yes,France,,EPF,IPF,2019-09-20,Spain,,Barcelona,Arnold Classic Europe,Yes
Panagiotis Tarinidis,M,SBD,Raw,24,24-34,24-39,Open,65.85,66,225,-235,-235,,225,160,-167.5,-167.5,,160,255,-265,-267.5,,255,640,5,502.30,503.47,489.28,99.89,Yes,France,,IPF,IPF,2019-06-04,Sweden,,Helsingborg,World Classic Powerlifting Championships,Yes
Panagiotis Tarinidis,M,SBD,Raw,24,24-34,24-39,Open,67.23,74,220,232.5,-237.5,,232.5,160,165,167.5,,167.5,250,255,257.5,,257.5,657.5,2,508.24,508.58,493.76,101.50,Yes,France,,FFForce,IPF,2019-03-16,France,,Nantes,Championnats de France Force Athlétique Elite,Yes
Panagiotis Tarinidis,M,S,Raw,24,24-34,24-39,Open,72.5,,190,205,215,,215,,,,,,,,,,,215,1,157.69,156.95,151.87,,Yes,France,,FFForce,IPF,2019-02-02,France,,Troyes,Eliminatoires Jean Villenave Grand Est,Yes
Panagiotis Tarinidis,M,SBD,Raw,23.5,24-34,24-39,Open,65.8,66,217.5,227.5,-232.5,,227.5,152.5,157.5,160,,160,235,245,-252.5,,245,632.5,2,496.70,497.88,483.86,98.76,Yes,France,,EPF,IPF,2018-11-24,Lithuania,,Kaunas,European Classic Powerlifting Championships,Yes
Panagiotis Tarinidis,M,SBD,Raw,23,20-23,24-39,Seniors,65.86,66,200,212.5,-222.5,,212.5,150,157.5,-162.5,,157.5,230,-240,240,,240,610,1,478.71,479.81,466.28,95.20,Yes,France,,FFForce,IPF,2018-09-01,France,,Bourges,Test de sélection pour les Championnats d'Europe de Force Athlétique,Yes
Panagiotis Tarinidis,M,S,Raw,23,20-23,24-39,Open,70.57,,205,215,225,,225,,,,,,,,,,,225,4,168.07,167.58,162.34,,Yes,France,,FFForce,IPF,2018-06-23,France,,Bègles,Challenge Villenave,Yes
Panagiotis Tarinidis,M,SBD,Raw,23,20-23,24-39,Open,65.78,66,-205,-205,205,,205,145,-150,150,,150,225,237.5,-242.5,,237.5,592.5,2,465.39,466.51,453.38,92.52,Yes,France,,FFForce,IPF,2018-04-28,France,,Escaudain,Championnats de France Force Athlétique Elite,Yes
Panagiotis Tarinidis,M,S,Raw,23,20-23,24-39,Open,68.9,,190,-200,-200,,190,,,,,,,,,,,190,2,144.31,144.14,139.78,,Yes,France,,FFForce,IPF,2018-02-04,France,,Maisons-Alfort,Eliminatoires Jean Villenave Ile de France,Yes
Panagiotis Tarinidis,M,SBD,Raw,23,20-23,24-39,Seniors,66,66,-205,205,,,205,135,140,,,140,200,215,225,,225,570,1,446.61,447.56,434.90,88.85,Yes,France,,FFForce,IPF,2018-01-21,France,,Linas,Challenge d'Hiver FA BP Ile de France,Yes
Panagiotis Tarinidis,M,SBD,Raw,22,20-23,19-23,Juniors,73.12,74,200,207.5,-210,,207.5,-140,145,-147.5,,145,210,220,-240,,220,572.5,3,417.55,415.35,401.76,84.57,Yes,France,,FFForce,IPF,2017-04-29,France,,Saint-Junien,Championnats de France Force Athlétique Jeunes,Yes
Panagiotis Tarinidis,M,SBD,Raw,22,20-23,19-23,Juniors,74,74,-175,175,185,,185,115,120,125,,125,190,200,210,,210,520,1,376.30,374.04,361.62,76.34,Yes,France,,FFForce,IPF,2016-12-18,France,,Vert-Saint-Denis,Régional FA PL Ile de France,Yes
Panagiotis Tarinidis,M,SBD,Raw,21,20-23,19-23,Juniors,73.2,74,-160,160,175,,175,110,115,120,,120,180,195,205,,205,500,G,364.41,362.46,350.59,73.82,Yes,France,,FFForce,IPF,2016-11-06,France,,Linas,Départemental FA PL Ile de France,Yes
