Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Russel Orhii,M,SBD,Raw,31,24-34,24-39,Open,92.44,,325,356,-365.5,,356,195,200,202.5,,202.5,315,335,-352.5,,335,893.5,10,570.15,562.91,538.89,117.23,Yes,USA,,IPF,IPF,2026-01-31,UK,,Sheffield,Sheffield Powerlifting Championships,Yes
Russel Orhii,M,SBD,Raw,31,24-34,24-39,Open,91.8,93,322.5,-343,355.5,,355.5,197.5,207.5,-210,,207.5,330,355,-360,,355,918,1,587.77,580.29,555.69,120.86,Yes,USA,,NAPF,IPF,2025-07-27,Cayman Islands,,George Town,Pan-American Powerlifting Championships,Yes
Russel Orhii,M,SBD,Raw,30,24-34,24-39,Open,82.84,,307.5,323,338,,338,192.5,200,202.5,,202.5,310,330,-342.5,,330,870.5,4,588.30,581.72,559.63,120.62,Yes,USA,,IPF,IPF,2025-01-26,UK,,Sheffield,Sheffield Powerlifting Championships,Yes
Russel Orhii,M,SBD,Raw,29.5,24-34,24-39,Open,82.65,83,305,321,-328,,321,180,185,187.5,,187.5,310,325,335,,335,843.5,2,570.79,564.45,543.07,117.01,Yes,USA,,IPF,IPF,2024-06-15,Lithuania,,Druskininkai,World Classic Powerlifting Championships,Yes
Russel Orhii,M,SBD,Raw,29,24-34,24-39,MR-O,82.9,83,310,325,330,,330,180,185,190,,190,312.5,330,340,,340,860,1,580.97,574.46,552.62,119.12,Yes,USA,TX,AMP,IPF,2024-03-14,USA,NV,Reno,Classic Raw Open Nationals,Yes
Russel Orhii,M,SBD,Raw,29,24-34,24-39,MR-O,89.6,93,25,,,,25,25,,,,25,75,,,,75,125,1,81.01,79.98,76.67,16.65,Yes,USA,TX,AMP,IPF,2024-01-14,USA,CA,Woodland Hills,Zoo Culture Qualifier,Yes
Russel Orhii,M,SBD,Raw,28,24-34,24-39,MR-O,89.86,90,-317.5,327.5,340,,340,182.5,190,195,,195,320,335,350,,350,885,1,572.69,565.43,541.94,117.74,Yes,USA,TX,USAPL,,2022-12-17,South Korea,,,Korea Winter Showdown,Yes
Russel Orhii,M,SBD,Raw,27.5,24-34,24-39,MR-O,82.19,82.5,297.5,310.5,320.5,,320.5,180,185,187.5,,187.5,310,325,330,,330,838,1,568.87,562.65,541.48,116.58,Yes,USA,TX,USAPL,,2022-06-08,USA,NV,Las Vegas,Mega Nationals,Yes
Russel Orhii,M,SBD,Raw,27,24-34,24-39,Open,82.62,83,297.5,313.5,320.5,,320.5,180,185,187.5,,187.5,310,325,333,,333,841,1,569.22,562.90,541.59,116.69,Yes,US Virgin Islands,,IPF,IPF,2021-09-23,Sweden,,Halmstad,World Classic Powerlifting Championships,Yes
Russel Orhii,M,SBD,Raw,26.5,24-34,24-39,MR-O,82.54,83,300,314,323,,323,185,190,192.5,,192.5,312.5,327.5,-335,,327.5,843,1,570.89,564.57,543.21,117.02,Yes,USA,TX,USAPL,IPF,2021-06-14,USA,FL,Daytona Beach,Raw Nationals,Yes
Russel Orhii,M,SBD,Raw,25,24-34,24-39,MR-O,82.37,83,-302.5,-313.5,313.5,,313.5,182.5,190,192.5,,192.5,307.5,322.5,-327.5,,322.5,828.5,1,561.72,555.54,534.58,115.13,Yes,USA,TX,USAPL,IPF,2019-10-16,USA,IL,Lombard,Raw Nationals,Yes
Russel Orhii,M,SBD,Raw,24.5,24-34,24-39,Open,82.25,83,290,305.5,313,,313,182.5,190,195,,195,302.5,315,325,,325,833,1,565.24,559.05,537.99,115.84,Yes,USA,,IPF,IPF,2019-06-04,Sweden,,Helsingborg,World Classic Powerlifting Championships,Yes
Russel Orhii,M,SBD,Raw,24,24-34,24-39,MR-O,82.8,83,287.5,301,-308,,301,182.5,-187.5,190,,190,287.5,300,310,,310,801,1,541.48,535.43,515.11,111.01,Yes,USA,TX,USAPL,IPF,2018-10-11,USA,WA,Spokane,Raw Nationals,Yes
Russel Orhii,M,SBD,Raw,23.5,24-34,24-39,Open,82.77,83,275,290,298.5,,298.5,177.5,185,190,,190,285,295,-300,,295,783.5,2,529.76,523.85,503.97,108.61,Yes,USA,,IPF,IPF,2018-06-06,Canada,,Calgary,World Classic Powerlifting Championships,Yes
Russel Orhii,M,SBD,Raw,23,20-23,24-39,MR-O,82.47,83,287.5,-300,-300,,287.5,170,177.5,182.5,,182.5,290,302.5,310,,310,780,1,528.48,522.64,502.89,108.32,Yes,USA,TX,USAPL,IPF,2018-03-03,USA,OH,Columbus,The Arnold SBD Pro American,Yes
Russel Orhii,M,SBD,Raw,23,20-23,19-23,MR-O,82.07,83,282.5,292.5,300.5,,300.5,170,175,180,,180,290,305,312.5,,312.5,793,1,538.77,532.91,512.88,110.40,Yes,USA,TX,USAPL,IPF,2017-10-10,USA,FL,Orlando,Raw National Championships,Yes
Russel Orhii,M,SBD,Raw,23,20-23,19-23,MR-Jr,82.07,83,282.5,292.5,300.5,,300.5,170,175,180,,180,290,305,312.5,,312.5,793,1,538.77,532.91,512.88,110.40,Yes,USA,TX,USAPL,IPF,2017-10-10,USA,FL,Orlando,Raw National Championships,Yes
Russel Orhii,M,SBD,Raw,23,20-23,19-23,MR-Jr,82.3,83,275,290,297.5,,297.5,170,177.5,182.5,,182.5,290,307.5,312.5,,312.5,792.5,1,537.57,531.67,511.63,110.17,Yes,USA,TX,USAPL,IPF,2017-08-26,USA,TX,,Texas Raw Championships,Yes
Russel Orhii,M,SBD,Raw,23,20-23,19-23,MR-O,82.3,83,275,290,297.5,,297.5,170,177.5,182.5,,182.5,290,307.5,312.5,,312.5,792.5,1,537.57,531.67,511.63,110.17,Yes,USA,TX,USAPL,IPF,2017-08-26,USA,TX,,Texas Raw Championships,Yes
Russel Orhii,M,SBD,Raw,22,20-23,19-23,MR-O,82.7,83,265,280,-302.5,,280,155,170,177.5,,177.5,285,307.5,-317.5,,307.5,765,1,517.50,511.74,492.34,106.09,Yes,USA,TX,USAPL,IPF,2017-02-18,USA,TX,College Station,Aggie Showdown,Yes
Russel Orhii,M,SBD,Raw,22,20-23,19-23,MR-Jr,82.7,83,265,280,-302.5,,280,155,170,177.5,,177.5,285,307.5,-317.5,,307.5,765,1,517.50,511.74,492.34,106.09,Yes,USA,TX,USAPL,IPF,2017-02-18,USA,TX,College Station,Aggie Showdown,Yes
