Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Taylor Atwood,M,SBD,Raw,37,35-39,24-39,Open,82.65,83,287.5,305,315.5,,315.5,203.5,213.5,218.5,,218.5,307.5,332.5,-356.5,,332.5,866.5,1,586.36,579.84,557.88,120.20,Yes,USA,,NAPF,IPF,2025-07-27,Cayman Islands,,George Town,Pan-American Powerlifting Championships,Yes
Taylor Atwood,M,SBD,Raw,36,35-39,24-39,MR-O,82.48,83,287.5,302.5,317.5,,317.5,197.5,207.5,216,,216,317.5,342.5,-367.5,,342.5,876,2,593.48,586.92,564.74,121.65,Yes,USA,NY,AMP,IPF,2025-04-03,USA,GA,College Park,Classic Open Nationals,Yes
Taylor Atwood,M,SBD,Raw,36,35-39,24-39,MR-O,82.6,83,260,275,285,,285,185,195,202.5,,202.5,305,325,342.5,,342.5,830,1,561.85,555.62,534.59,115.17,Yes,USA,NY,AMP,IPF,2024-10-27,USA,MA,Stoneham,Scary Strong 3,Yes
Taylor Atwood,M,SBD,Raw,34.5,24-34,24-39,Open,73.75,74,255,270,-277.5,,270,182.5,192.5,197.5,,197.5,292.5,310,-323,,310,777.5,3,563.88,560.61,542.08,114.35,Yes,USA,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships,Yes
Taylor Atwood,M,SBD,Raw,34,24-34,24-39,Open,73.9,,255,270,-283.5,,270,180,190,197.5,,197.5,292.5,310,-322.5,,310,777.5,5,563.13,559.80,541.25,114.22,Yes,USA,,IPF,IPF,2023-03-25,UK,,Sheffield,Sheffield Powerlifting Championships,Yes
Taylor Atwood,M,SBD,Raw,33.5,24-34,24-39,Open,73.55,74,245,262.5,277.5,,277.5,182.5,192.5,197.5,,197.5,277.5,297.5,315,,315,790,1,573.96,570.73,551.92,116.35,Yes,USA,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Taylor Atwood,M,SBD,Raw,33,24-34,24-39,MR-O,73.72,74,230,242.5,255,,255,187.5,196,202.5,,202.5,245,260,275,,275,732.5,1,531.38,528.32,510.86,107.75,Yes,USA,NY,AMP,IPF,2022-04-01,USA,TX,Austin,Classic Open Nationals Presented by SBD,Yes
Taylor Atwood,M,SBD,Raw,32.5,24-34,24-39,MR-O,73.63,74,275,290,303,,303,187.5,195,-200,,195,305,325.5,340.5,,340.5,838.5,1,608.77,605.30,585.33,123.42,Yes,USA,NY,USAPL,IPF,2021-06-14,USA,FL,Daytona Beach,Raw Nationals,Yes
Taylor Atwood,M,SBD,Raw,32,24-34,24-39,MR-G,73.72,74,267.5,280,293,,293,185,192.5,199,,199,295,310,320,,320,812,G,589.06,585.66,566.30,119.44,Yes,USA,NY,USAPL,IPF,2020-10-18,USA,FL,,38th Annual Florida State Championships,Yes
Taylor Atwood,M,SBD,Raw,31,24-34,24-39,MR-G,76,83,245,257.5,272.5,,272.5,187.5,197.5,-202.5,,197.5,285,300,-315,,300,770,G,547.80,543.68,525.03,111.49,Yes,USA,NY,USAPL,IPF,2020-03-14,USA,NY,,Squats and Science Championship,Yes
