Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Enahoro Asein,M,SBD,Raw,26.5,24-34,24-39,Open,82.45,83,270,290,300,,300,152.5,-162.5,-162.5,,152.5,355,383,-392.5,,383,835.5,4,566.16,559.91,538.76,116.04,Yes,Hungary,,IPF,IPF,2026-06-13,Lithuania,,Druskininkai,World Classic Powerlifting Championships,Yes
Enahoro Asein,M,SBD,Raw,26.5,24-34,24-39,Open,83,83,270,285,292.5,,292.5,147.5,155,157.5,,157.5,355,375,377.5,,377.5,827.5,1,558.63,552.36,531.33,114.55,Yes,Hungary,,EPF,IPF,2026-03-15,Malta,,St. Julians,European Open Classic Powerlifting Championships,Yes
Enahoro Asein,M,SBD,Raw,25.5,24-34,24-39,Open,89.3,93,125,200,225,,225,125,145,152.5,,152.5,310.5,-312.5,,,310.5,688,6,446.62,440.98,422.78,91.82,Yes,Hungary,,Hunpower,IPF,2025-10-18,Hungary,,Budapest,Hungarian National Powerlifting Championships,Yes
Enahoro Asein,M,SBD,Raw,25.5,24-34,24-39,Middle,82.69,,265,280,285,,285,-150,150,155,,155,355,375,377.5,,377.5,817.5,2,553.05,546.90,526.17,113.38,Yes,Hungary,,IPF,IPF,2025-08-14,China,,Chengdu,World Games,Yes
Enahoro Asein,M,SBD,Raw,25.5,24-34,24-39,Open,82.66,83,280,-292.5,292.5,,292.5,152.5,160,162.5,,162.5,372.5,-400.5,-402.5,,372.5,827.5,4,559.93,553.71,532.73,114.79,Yes,Hungary,,IPF,IPF,2025-06-08,Germany,,Chemnitz,World Classic Powerlifting Championships,Yes
Enahoro Asein,M,SBD,Raw,24.5,24-34,24-39,Open,82.55,83,262.5,275,282.5,,282.5,150,157.5,-162.5,,157.5,367.5,-388,-405,,367.5,807.5,3,546.81,540.75,520.30,112.09,Yes,Hungary,,IPF,IPF,2024-06-15,Lithuania,,Druskininkai,World Classic Powerlifting Championships,Yes
Enahoro Asein,M,SBD,Raw,24.5,24-34,24-39,Open,82.78,83,257.5,270,-277.5,,270,142.5,150,155,,155,345,367.5,-399,,367.5,792.5,3,535.81,529.83,509.72,109.85,Yes,Hungary,,EPF,IPF,2024-03-12,Croatia,,Velika Gorica,European Open Classic Powerlifting Championships,Yes
Enahoro Asein,M,SBD,Raw,24,24-34,24-39,Open,82.4,83,265,277.5,-282.5,,277.5,147.5,-155,155,,155,355,-373,380,,380,812.5,1,550.76,544.69,524.13,112.88,Yes,Hungary,,EPF,IPF,2023-12-04,Estonia,,Tartu,European Open Classic Powerlifting Championships,Yes
Enahoro Asein,M,SBD,Raw,23.5,24-34,24-39,Open,82.6,83,265,275,280,,280,145,152.5,155,,155,350,370.5,-380.5,,370.5,805.5,2,545.27,539.22,518.81,111.78,Yes,Hungary,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships,Yes
Enahoro Asein,M,SBD,Raw,23,20-23,19-23,Open,82.87,83,270,280,-285,,280,140,150,-155,,150,340,-360,-370.5,,340,770,3,520.28,514.45,494.90,106.67,Yes,Hungary,,EPF,IPF,2022-11-25,Poland,,Skierniewice,European Classic Powerlifting Championships,Yes
Enahoro Asein,M,SBD,Raw,22.5,20-23,19-23,Open,82.25,83,255,267.5,272.5,,272.5,132.5,140,145,,145,345.5,362.5,-385,,362.5,780,3,529.28,523.48,503.76,108.47,Yes,Hungary,,IPF,IPF,2022-06-06,South Africa,,Sun City,World Classic Powerlifting Championships,Yes
Enahoro Asein,M,SBD,Raw,21.5,20-23,19-23,Open,81.54,83,217.5,230,240,,240,115,125,-130,,125,312.5,332.5,336,,336,701,12,478.04,472.94,455.30,97.91,Yes,Hungary,,IPF,IPF,2021-09-23,Sweden,,Halmstad,World Classic Powerlifting Championships,Yes
Enahoro Asein,M,SBD,Raw,20.5,20-23,19-23,Open,82.8,83,,,,,262.5,,,,,140,-320,320,350,,350,752.5,1,508.69,503.01,483.92,104.29,Yes,Hungary,,Hunpower,IPF,2020-09-12,Hungary,,Szombathely,Hungarian Men's Raw Powerlifting Championships,Yes
Enahoro Asein,M,SBD,Raw,20.5,20-23,19-23,Juniors,82.8,83,,,,,262.5,,,,,140,,,,,350,752.5,1,508.69,503.01,483.92,104.29,Yes,Hungary,,Hunpower,IPF,2020-09-12,Hungary,,Szombathely,Hungarian Men's Raw Powerlifting Championships,Yes
Enahoro Asein,M,SBD,Raw,19.5,20-23,19-23,Open,81.1,83,,,,,225,,,,,112.5,,,,,305,642.5,1,439.51,434.91,418.80,89.99,Yes,Hungary,,Hunpower,IPF,2019-06-22,Hungary,,Ászár,Hungarian Raw National Championship,Yes
Enahoro Asein,M,D,Raw,19.5,20-23,19-23,Open,83.2,93,,,,,,,,,,,-285,285,-300,,285,285,1,192.14,189.97,182.71,,Yes,Hungary,,Hunpower,IPF,2019-03-30,Hungary,,Hajdúszoboszló,Hungarian Deadlift Championships,Yes
Enahoro Asein,M,SBD,Raw,19,18-19,19-23,Juniors,80.2,83,200,215,220,,220,100,107.5,-112.5,,107.5,260,280,290,,290,617.5,2,425.17,420.90,405.51,86.98,,Hungary,,Hungary-UA,,2018-12-01,Hungary,,Budapest,V. PowerBuilder Competition,No
