Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
William Ball #2,M,SBD,Raw,20,20-23,19-23,Open,91.4,93,312.5,330,335,,335,210,215,217.5,,217.5,345,367.5,375,,375,927.5,1,595.13,587.55,562.74,122.37,Yes,USA,,IPF,IPF,2026-06-13,Lithuania,,Druskininkai,World Classic Powerlifting Championships,Yes
William Ball #2,M,SBD,Raw,20,20-23,19-23,MR-O,91.92,93,305,322.5,330,,330,207.5,215,220,,220,335,365,380,,380,930,1,595.07,587.50,562.56,122.36,Yes,USA,NC,AMP,IPF,2026-03-05,USA,NV,Lake Tahoe,Open Nationals,Yes
William Ball #2,M,SBD,Raw,19,18-19,19-23,MR-Jr,92.15,93,295,315,322.5,,322.5,202.5,217.5,222.5,,222.5,325,345,375,,375,920,1,587.96,580.48,555.78,120.90,Yes,USA,NC,AMP,IPF,2025-09-27,USA,IL,Chicago,Origins Invitational,Yes
William Ball #2,M,SBD,Raw,19,18-19,19-23,MR-Jr,90.82,93,-295,-300,-315,,,175,207.5,215,,215,305,325,340,,340,,DQ,,,,,Yes,USA,NC,AMP,IPF,2025-05-28,USA,NV,Reno,Classic and Equipped Age Division Nationals,Yes
William Ball #2,M,SBD,Raw,18,18-19,14-18,Sub-Juniors,89.85,93,275,-290.5,-295.5,,275,177.5,187.5,195,,195,290,305,318,,318,788,1,509.95,503.48,482.57,104.84,Yes,USA,,IPF,IPF,2024-08-28,Malta,,St. Paul's Bay,World Junior and Sub-Juniors Powerlifting Championships,Yes
William Ball #2,M,SBD,Raw,18,18-19,14-18,MR-Sj,90.8,93,265,282.5,295.5,,295.5,175,183,188,,188,280,300,310.5,,310.5,794,1,511.13,504.63,483.45,105.10,Yes,USA,NC,AMP,IPF,2024-05-17,USA,TX,Austin,Classic Age Division National Championships,Yes
William Ball #2,M,SBD,Raw,17,16-17,14-18,MR-Sj,85.7,93,75,,,,75,75,,,,75,75,125,175,,175,325,1,215.57,212.97,204.57,44.27,Yes,USA,NC,AMP,IPF,2024-01-20,USA,FL,Fleming Island,7th Annual Jacksonville Open Championship,Yes
William Ball #2,M,SBD,Raw,17,16-17,14-18,MR-T2,86.95,90,260,275,287.5,,287.5,167.5,177.5,-185,,177.5,280,302.5,-320,,302.5,767.5,1,505.17,498.94,478.92,103.79,Yes,USA,NC,USAPL,,2023-11-11,USA,NC,,Fall Festival of Power,Yes
William Ball #2,M,SBD,Raw,17,16-17,14-18,MR-O,86.95,90,260,275,287.5,,287.5,167.5,177.5,-185,,177.5,280,302.5,-320,,302.5,767.5,2,505.17,498.94,478.92,103.79,Yes,USA,NC,USAPL,,2023-11-11,USA,NC,,Fall Festival of Power,Yes
William Ball #2,M,SBD,Raw,17,16-17,14-18,MR-O,88.95,90,245,-255,-255,,245,-155,155,-172.5,,155,250,272.5,287.5,,287.5,687.5,5,447.19,441.55,423.40,91.93,Yes,USA,NC,USAPL,,2023-06-17,USA,NC,,Southeast Regionals,Yes
William Ball #2,M,SBD,Raw,17,16-17,14-18,MR-T2,88.95,90,245,-255,-255,,245,-155,155,-172.5,,155,250,272.5,287.5,,287.5,687.5,1,447.19,441.55,423.40,91.93,Yes,USA,NC,USAPL,,2023-06-17,USA,NC,,Southeast Regionals,Yes
William Ball #2,M,SBD,Raw,17,16-17,14-18,MR-T2,87,90,240,255,-260,,255,142.5,150,157.5,,157.5,237.5,247.5,255,,255,667.5,1,439.22,433.80,416.38,90.24,Yes,USA,NC,USAPL,,2023-03-18,USA,NC,,North Carolina State Championships,Yes
William Ball #2,M,SBD,Raw,17,16-17,14-18,MR-O,87,90,240,255,-260,,255,142.5,150,157.5,,157.5,237.5,247.5,255,,255,667.5,3,439.22,433.80,416.38,90.24,Yes,USA,NC,USAPL,,2023-03-18,USA,NC,,North Carolina State Championships,Yes
William Ball #2,M,SBD,Raw,16,16-17,14-18,MR-T2,89.8,90,220,235,242.5,,242.5,125,132.5,140,,140,220,230,235,,235,617.5,1,399.72,394.66,378.27,82.18,Yes,USA,NC,USAPL,,2022-11-05,USA,NC,,Fall Festival of Power,Yes
